longitude,latitude,name,company_name,m2,clouds,readyForService,networks,cdns,country,gross_max_power,ixps,fibres,construction_date,id,certs.EUcoc,certs.Other,certs.UT_cert,certs.BREAAM,certs.LEED,certs.UT_level,OBJECTID,GEOID,RPL_EJI,RPL_SER,RPL_EJI_CBM,EPL_MINRTY,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,RPL_SVM_DOM4,RPL_SVM,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,RPL_EBM_DOM4,EPL_IMPWTR,RPL_EBM_DOM5,RPL_EBM,EPL_ASTHMA,EPL_CANCER,EPL_CHD,EPL_MHLTH,EPL_DIABETES,RPL_HVM,EPL_NEHD,RPL_CBM_DOM1,EPL_BURN,EPL_SMOKE,RPL_CBM_DOM2,EPL_CFLD,EPL_DRGT,EPL_HRCN,EPL_RFLD,EPL_SWND,EPL_TRND,RPL_CBM_DOM3,RPL_CBM,Shape,Tribe_PCT_Tract,Tribe_Names,Tribe_Flag
-77.48744160000001,39.0437567,Virginia Ashburn 1,NTT,13935,[],,[],[],USA,28400,[],[],,18ea79bd-cf58-4989-a2af-c1211f6f2b8f,False,,0,False,False,1.0,62330,51107611005,0.004,0.0088,0.0094,0.5656,0.5656,0.0231,0.0951,0.2188,0.3028,0.0834,0.1794,0.0508,0.0324,0.0519,0.913,0.0146,0.5234,0.1631,0,0,0,0.0247,0,0,0.5501,0.4976,0.3276,0,0,0,0.7968,0,0,0.3491,0.5514,0.0563,0.4201,0.0548,0,0.3416,0,0.107,0.4283,0.4283,0.0857,0.0946,0.3101,0.0346,0.1116,0.1074,0,0.4222,0.4222,0,0.2384,0.2366,0,0.2403,0.647,0,0.988,0,0.5348,0.3632,Polygon,0,-999,-999
-77.48744160000001,39.0437567,Virginia Ashburn 2,NTT,13006,[],,[],[],USA,28400,[],[],,6a3f6f27-8e6b-49e8-91ff-496b95270eec,False,,0,False,False,1.0,62330,51107611005,0.004,0.0088,0.0094,0.5656,0.5656,0.0231,0.0951,0.2188,0.3028,0.0834,0.1794,0.0508,0.0324,0.0519,0.913,0.0146,0.5234,0.1631,0,0,0,0.0247,0,0,0.5501,0.4976,0.3276,0,0,0,0.7968,0,0,0.3491,0.5514,0.0563,0.4201,0.0548,0,0.3416,0,0.107,0.4283,0.4283,0.0857,0.0946,0.3101,0.0346,0.1116,0.1074,0,0.4222,0.4222,0,0.2384,0.2366,0,0.2403,0.647,0,0.988,0,0.5348,0.3632,Polygon,0,-999,-999
-74.41890699999999,40.85708399999999,New Jersey 3,Cologix,5000,[],,[],[],USA,,[],[],,ce6f506e-3643-41cc-9131-337751ad9ca9,False,,0,False,False,1.0,30326,34027041803,0.371,0.5717,0.5699,0.6871,0.6871,0.0151,0.2959,0.4759,0.0476,0.0544,0.024,0.1606,0.0439,0.7135,0.6504,0.0434,0.745,0.6382,0,0.8881,0.5623,0.1846,0.6153,0.5886,0.7876,0.4976,0.8422,0.951,0.6665,0.707,0,0,0,0.8594,0.5514,0.4845,0.4858,0.3755,0.4061,0.4323,0,0.3919,0.8524,0.8524,0.8821,0.0023,0.4507,0.1655,0.0072,0.1846,0,0.4746,0.4746,0,0.4136,0.4103,0,0.1831,0.6608,0.8777,0.9338,0,0.8637,0.8629,Polygon,0,-999,-999
-80.86923100000001,35.388033,Charlotte Workgroup,Sungard,348,[],,[],[],USA,,[],[],,93c6eeb4-2d58-4549-bf73-072b3fd1408e,False,,0,False,False,1.0,40905,37119006224,0.3233,0.5104,0.3479,0.5536,0.5536,0.6376,0.6695,0.3899,0.841,0.472,0.6448,0.0707,0.5567,0.4304,0.4717,0.6335,0.7179,0.7154,0.8342,0,0.5149,0.6031,0.4757,0,0.5433,0.4976,0.5138,0,0.758,0.7272,0,0,0,0.6135,0.5514,0.1078,0.4189,0.0715,0.474,0.4716,0,0.4353,0.3499,0.3499,0.3886,0.3015,0.2765,0.2485,0.4345,0.2975,0,0.1036,0.1036,0,0.0824,0.0817,0,0.7061,0.5755,0.8048,0.5538,0,0.8573,0.5444,Polygon,0,-999,-999
-121.95523559999998,37.35410789999999,Santa Clara Data Center,Sungard,325,[],,[],[],USA,10200,[],[],,fa1dc2af-199e-46bc-83e0-cc9301f1c280,False,,0,False,False,1.0,75543,06085505202,0.5273,0.7436,0.4913,0.811,0.811,0.3317,0.4893,0.1242,0.9229,0.4787,0.4567,0.3345,0.4175,0.2309,0.1796,0.1162,0.7937,0.1,0,0.5046,0.2494,0.328,0.5463,0.9694,0.7707,0.4976,0.8967,0.9828,0.8598,0.8446,0.8562,0,0,0.9922,0.5662,0.4723,0.2233,0.1617,0.808,0.6136,0.9596,0.9902,0.6507,0.6507,0.9985,0.0496,0.0639,0.0346,0.2202,0.0887,0,0.5373,0.5373,0,0.7722,0.7647,0,0.8001,0,0.5284,0.0389,0,0.2969,0.4643,Polygon,0,-999,-999
-77.48158030000002,39.0159656,21635 Red Rum Dr,Zayo Group LLC,3252,[],,[],[],USA,40000,[],[],,7eba6591-0b0a-45b9-8b12-c420769fe385,False,,0,False,False,1.0,62331,51107611019,0.0084,0.0185,0.0132,0.6166,0.6166,0.0294,0.237,0.3511,0.1258,0.0127,0.0636,0.0341,0.0241,0.1565,0.7814,0.0936,0.745,0.3235,0.4677,0,0.2346,0.0683,0,0,0.5244,0.4976,0.3155,0,0,0,0.7711,0,0,0.3381,0.5514,0.0124,0.4913,0.0637,0,0.4587,0,0.1476,0.4283,0.4283,0.0964,0.0808,0.333,0.0863,0.1187,0.239,0,0.4222,0.4222,0,0.2384,0.2366,0,0.2403,0.647,0,0.988,0,0.5348,0.3632,Polygon,0,-999,-999
-104.8469645,39.59127419999999,6900 S Peoria St,Zayo Group LLC,2044,[],,[],[],USA,10000,[],[],,0edb53f0-eb3c-48fc-b5e7-b347eef12a3f,False,,0,False,False,1.0,84804,08005006864,0.3881,0.5931,0.414,0.6426,0.6426,0.0724,0.3968,0.3774,0.9539,0.5707,0.5999,0,0.3784,0.0895,0.0345,0.0103,0.6514,0.0227,0,0.9798,0.6621,0.2676,0.9319,0.8046,0.6816,0.0434,0.8374,0,0.8119,0.5676,0.8514,0,0,0.8394,0.6378,0.0305,0.3886,0.0642,0,0.4549,0.9903,0.8657,0.4183,0.4183,0.8269,0.2258,0.1007,0.019,0.3615,0.0139,0,0.7807,0.7807,0,0.7818,0.7743,0,0.6364,0,0.3322,0.331,0,0.2718,0.562,Polygon,0,-999,-999
-87.640085,41.87088300000001,840 S Canal St,Zayo Group LLC,1394,[],,[],[],USA,2000,[],[],,e89c57af-8aaa-46d6-ad7e-3c1f43f0b118,False,,0,False,False,1.0,29543,17031841900,0.5467,0.641,0.6755,0.6789,0.6789,0.3362,0.3661,0.9446,0.4817,0.2304,0.267,0.2401,0.3542,0.0369,0.0299,0.2332,0.6199,0.0322,0,0.99,0.6747,0.279,0.8922,0,0.9992,0.4976,0.823,0,0.8598,0.8446,0.7959,0,0,0.9024,0.5514,0.2706,0.0011,0.0147,0.8112,0.6136,0,0.7208,0.8863,0.8863,0.8819,0.1087,0.0085,0.007,0.6862,0.0139,0.2,0.4486,0.4486,0,0.84,0.8321,0,0.2012,0.1057,0.9373,0.7775,0,0.6077,0.7675,Polygon,0,-999,-999
-96.8735669,32.8217601,1100 Empire Central Place,Zayo Group LLC,3345,[],,[],[],USA,900,[],[],,e78471dd-44a2-4c0c-b46c-6334401c0351,False,,0,False,False,1.0,79322,48113010003,0.5651,0.7813,0.7883,0.6484,0.6484,0.563,0.4586,0.633,0.9911,0.6163,0.8681,0.0341,0.6603,0.0179,0.0127,0.3607,0.3193,0.0182,0,0.9661,0.645,0.4483,0.8855,0.8381,0.8327,0.4976,0.9491,0,0.8598,0.7368,0.8694,0,0,0.8933,0.5514,0.0104,0.1468,0.0051,0.7929,0.6136,0.8687,0.9756,0.1659,0.1659,0.9452,0.0808,0.0145,0.019,0.6557,0.0316,0,0.6366,0.6366,0,0.5828,0.5776,0,0.7096,0.2158,0.8845,0.7147,0.5198,0.9549,0.9792,Polygon,0,-999,-999
-96.7913941,32.9230277,6606 LBJ Fwy,Zayo Group LLC,1329,[],,[],[],USA,2000,[],[],,f83cc9eb-fb32-4457-b492-1a8e655bdadb,False,,0,False,False,1.0,53463,48113013201,0.5909,0.388,0.7777,0.59,0.59,0.5169,0,0.9882,0.3859,0.5881,0.978,0.3606,0.5784,0.9559,0.6382,0.0197,0,0.2176,0.7222,0,0.4277,0.4929,0.8855,0.8381,0.7519,0.4976,0.9343,0,0,0.5114,0,0,0,0.2362,0.5514,0.4415,0.099,0.0769,0,0.6136,0,0.2271,0,0,0.3482,0.0351,0.9733,0.9321,0.0709,0.7879,0.6,0.6201,0.6201,0,0.5828,0.5776,0,0.6887,0.2158,0.8845,0.7147,0,0.8017,0.9082,Polygon,0,-999,-999
